verbe,id,auteur,titre,intervale tps,date,page,ctx gauche,mot gauche,ponct G,pivot,ponct D,mot droit,ctx droit
montrer,"﻿""1""",PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,53,imagination . C' est qu' en effet l' imagination,nous,,montre,,la,"vie , de cieux , de femmes et de douleurs parée , qui"
montrer,2,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,62,"pas dangereuses . Vous renfermez un joli sens , et",qui,,montre,,que,je regarde les choses et que je les apprécie . Il faut
montrer,3,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,80,"les malades . Mais si la chair se rompt , la maladie",se,,montre,,par,deux trous et devient une maladie honteuse . Alors le
montrer,4,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,80,"de pus sur ma joue , qui était une tare cachée qui",se,,montre,,et,par laquelle on comprend qu' il ne faut pas toucher à
montrer,5,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,84,il faut travailler chaque jour et les maladies,leur,,montrent,,qu',elle est plus pénible encore puisqu' on ne
montrer,6,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,86,", des écuries , des hangars et des greniers , et",ceci,,montre,,que,la vie a deux côtés dont l' un est pour les hommes et
montrer,7,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,86,"printemps . Le matin , avec sa messe et son marché ,",nous,,montre,,des,"paysans en blouse bleue , des paysannes en robe noire"
montrer,8,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,92,"des dates , des traités et des successions , mais",elle,,montre,,les,gestes de la France qui font du bruit et ses habits de
montrer,9,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,102,de cette clarté dans nos salles parce qu' elle,nous,,montre,,trop,"bien le silence , les livres et la discipline . Mais"
montrer,10,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,103,comme on n' en porte pas dans nos pays parce qu',elle,,montre,,qu',on est sérieux et instruit . Il nous dicta une
montrer,11,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,117,à des hommes . J' avais souffert et le pion m',avait,,montré,,toute,"son autorité , de sorte que je voulais avoir un"
montrer,12,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,124,"entrer à l' école normale supérieure , et qui m'",a,,montré,,que,les officiers sont des êtres inutiles . Je fus
montrer,13,PHILIPPE Charles-Louis,La Mère et l'enfant,1900-1909,1900,126,"afin de gagner le pain de sa femme et de ses enfants ,",cela,,montre,,que,la vie est pénible . Il faut regarder un travailleur
