verbe,id,auteur,titre,intervale tps,date,page,ctx gauche,mot gauche,ponct G,pivot,ponct D,mot droit,ctx droit
élucider,"﻿""1""",ROUSSEL Raymond,Impressions d'Afrique,1910-1919,1910,187,les futures amours de Flore . Ce premier,point,,élucidé,",",il,s' agissait de mener l' intrigue le plus
élucider,2,MILOSZ Oscar,L'Amoureuse initiation,1910-1919,1910,206,"à notre tour . Si grave que soit un outrage , nous n'",en,,élucidons,,jamais,les mobiles que par le moyen d' un calcul
élucider,3,MARTIN DU GARD Roger,Jean Barois,1910-1919,1913,236,", comme autant de points d' histoire",définitivement,,élucidés,!,Simplement,", un renvoi , pour indiquer où les"
élucider,4,ROUSSEL Raymond,Locus Solus,1910-1919,1914,106,du doigt percuteur . Ces différents,points,,élucidés,",",Canterel,songea qu' il n' avait pas encore goûté
élucider,5,MONTHERLANT Henry de,Le Songe,1920-1929,1922,195,à telle heure ... des histoires ! Ainsi on n' a,rien,,élucidé,",",rien,"expliqué , rien osé dire de ce qu' on s' était"
élucider,6,MARTIN DU GARD Roger,Devenir,1920-1929,1928,36,"semble épaisse , engourdie , figée . On n' a",jamais,,élucidé,,si,son impassibilité est naturelle ou entièrement
élucider,7,MALÈGUE Joseph,Augustin ou le Maître est là : t. 1,1930-1939,1933,186,de la choisir . à chaque traquenard,tranquillement,,élucidé,",",on,"entendait , sobres et presque muettes , des"
élucider,8,MALÈGUE Joseph,Augustin ou le Maître est là : t. 1,1930-1939,1933,315,", pour des raisons que son camarade scientifique",n',,élucidait,,pas,nettement . Lui ne pouvait proposer que des
élucider,9,CÉLINE Louis-Ferdinand,Mort à crédit,1930-1939,1936,843,L' enquête officielle n' a rien résolu !...,Rien,,élucidé,,!...,C' était à prévoir ... Les causes de ce
élucider,10,QUENEAU Raymond,Odile,1930-1939,1937,557,dit : les questions philosophiques ne peuvent,être,,élucidées,,que,dans une société sans classes lorsque les
élucider,11,ROMAINS Jules,Les Hommes de bonne volonté : t. 16 : Verdun,1930-1939,1938,85,"à son offensive des effectifs importants ... """,pas,,élucidée,,encore,", cette question ? Que fait le 2e bureau ? "" ... le"
